name,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01
Star Wars: Squadrons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,4.0,23.0,20733.0,3869.0,4089.0,3686.0,1475.0,2623.0
StarCraft II,7133.0,5835.0,5609.0,5131.0,5125.0,4378.0,4710.0,5036.0,4555.0,4552.0,4748.0,1694.0,5433.0,4950.0,4584.0,4442.0,5412.0,4752.0,5069.0,5421.0,5328.0,4663.0,8046.0,7652.0,7085.0,6361.0,7480.0,7256.0,6744.0,6228.0,6762.0,6797.0,6324.0,6425.0,7098.0,6872.0,6822.0,5956.0,6755.0,7008.0,6704.0,6220.0,5921.0,6261.0,5267.0,4861.0,5052.0,5213.0,5225.0,4841.0,6087.0,5603.0,5740.0,5121.0,5457.0,5610.0,4984.0,4969.0,4859.0,4549.0,4723.0,4428.0,4838.0
Stardew Valley,0.0,2034.0,15288.0,6573.0,3597.0,2680.0,2647.0,1818.0,1629.0,3969.0,2788.0,780.0,6854.0,5541.0,3951.0,3012.0,4092.0,4180.0,5723.0,4374.0,3938.0,5209.0,5672.0,5456.0,6746.0,5262.0,5426.0,5347.0,22012.0,11626.0,9631.0,10264.0,7386.0,6287.0,6040.0,7021.0,8805.0,7200.0,9349.0,8973.0,8323.0,7886.0,8028.0,6603.0,6162.0,6306.0,7647.0,12564.0,13002.0,11774.0,15192.0,11201.0,9308.0,8176.0,10088.0,9469.0,9509.0,8885.0,11995.0,23020.0,37286.0,30846.0,31660.0
State of Decay 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,6.0,7.0,23308.0,12258.0,3467.0,2138.0,1870.0,1396.0,1114.0,1340.0,1439.0,1035.0,1453.0,1882.0,1925.0,2446.0,1773.0,1388.0,1065.0,1111.0,1047.0,1300.0,1304.0,1394.0,4395.0,2452.0,2361.0,1934.0,2375.0,2238.0,1793.0,2017.0,1791.0,2100.0,3067.0,2506.0,2339.0
Steep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8730.0,2190.0,3826.0,2108.0,2890.0,810.0,989.0,1110.0,858.0,646.0,506.0,518.0,965.0,1773.0,1137.0,1527.0,1067.0,782.0,575.0,829.0,803.0,912.0,686.0,684.0,950.0,1304.0,13173.0,2843.0,1566.0,1002.0,4035.0,1385.0,851.0,816.0,692.0,601.0,789.0,1025.0,3223.0,1179.0,1217.0,947.0,997.0,838.0,899.0,762.0,826.0,726.0,1028.0,1272.0,1558.0,1552.0,1418.0
Street Fighter V,2561.0,15635.0,11677.0,7748.0,5809.0,4263.0,7200.0,4995.0,4492.0,4060.0,3735.0,1117.0,6005.0,4552.0,4095.0,3898.0,4901.0,4122.0,4438.0,4464.0,3777.0,3839.0,3642.0,4638.0,7322.0,4269.0,4242.0,4462.0,4190.0,4071.0,4386.0,5754.0,4201.0,3769.0,3606.0,5176.0,4401.0,3317.0,3441.0,3663.0,3205.0,2885.0,2881.0,4185.0,2848.0,2619.0,2967.0,4478.0,4678.0,4703.0,3860.0,3210.0,3458.0,3308.0,3572.0,4729.0,7645.0,4546.0,4290.0,4282.0,4588.0,6016.0,6256.0
Subnautica,1133.0,1093.0,1362.0,1221.0,3281.0,2702.0,2860.0,1530.0,1074.0,797.0,804.0,261.0,2659.0,1698.0,1477.0,1319.0,1837.0,1980.0,2395.0,1713.0,1512.0,1234.0,1220.0,1964.0,13074.0,15943.0,6945.0,3823.0,2925.0,3618.0,3462.0,2741.0,2474.0,2381.0,2342.0,23026.0,16769.0,10552.0,6690.0,4409.0,3985.0,3674.0,3853.0,4136.0,3010.0,2893.0,4041.0,5421.0,5611.0,5710.0,6620.0,7364.0,7541.0,6500.0,6693.0,7579.0,6562.0,6421.0,7272.0,7777.0,11658.0,8854.0,20341.0
Sunset Overdrive,472.0,322.0,308.0,7131.0,2665.0,770.0,682.0,400.0,369.0,316.0,288.0,36.0,335.0,235.0,161.0,107.0,194.0,228.0,196.0,164.0,112.0,107.0,130.0,129.0,148.0,125.0,157.0,140.0,174.0,177.0,169.0,183.0,207.0,122.0,1106.0,637.0,452.0,215.0,213.0,184.0,172.0,369.0,310.0,247.0,180.0,139.0,173.0,191.0,203.0,171.0,208.0,272.0,274.0,292.0,370.0,314.0,288.0,271.0,348.0,352.0,388.0,364.0,331.0
Super Mario 3D All-Stars,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14467.0,0.0,0.0,0.0,0.0,0.0,0.0
Super Mario Maker 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,222.0,7219.0,14975.0,7907.0,4804.0,4336.0,3152.0,4205.0,3811.0,3493.0,3865.0,5159.0,5158.0,4137.0,3970.0,3453.0,3185.0,2533.0,2666.0,3099.0,3628.0,3259.0,3629.0
Super Mario Odyssey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7269.0,8426.0,3966.0,3488.0,2371.0,2289.0,1622.0,1528.0,1420.0,1497.0,1312.0,1212.0,1243.0,1438.0,1355.0,1511.0,1152.0,1311.0,1070.0,1138.0,1262.0,1018.0,956.0,862.0,860.0,785.0,972.0,1056.0,1034.0,1373.0,1191.0,1487.0,1539.0,1647.0,1598.0,1974.0,1410.0,1537.0,1803.0,2407.0,2243.0,2519.0
